1,TI,1,A,2024-06-18 20:21:04,2024-06-18 20:21:04
2,TI,1,B,2024-06-18 20:21:08,2024-06-18 20:21:08
3,TI,1,C,2024-06-18 20:21:11,2024-06-18 20:21:11
5,TI,1,D,2024-06-18 20:21:18,2024-06-18 20:21:18
6,TI,2,A,2024-06-18 20:21:26,2024-06-18 20:21:26
7,TI,2,B,2024-06-18 20:21:30,2024-06-18 20:21:30
8,TI,2,C,2024-06-18 20:21:33,2024-06-18 20:21:33
10,TI,2,D,2024-06-18 20:21:40,2024-06-18 20:21:40
11,TI,3,A,2024-06-18 20:21:55,2024-06-18 20:21:55
12,TI,3,C,2024-06-18 20:22:00,2024-06-18 20:22:00
13,TI,3,D,2024-06-18 20:22:03,2024-06-18 20:22:03
14,TI,3,B,2024-06-18 20:22:10,2024-06-18 20:22:10
15,TI,4,A,2024-06-18 20:22:29,2024-06-18 20:22:29
16,TI,4,B,2024-06-18 20:22:33,2024-06-18 20:22:33
17,TI,4,C,2024-06-18 20:22:40,2024-06-18 20:22:40
18,TI,4,D,2024-06-18 20:22:43,2024-06-18 20:22:43
19,TI,5,A,2024-06-18 20:22:54,2024-06-18 20:22:54
20,TI,5,B,2024-06-18 20:22:58,2024-06-18 20:22:58
21,TI,5,C,2024-06-18 20:23:01,2024-06-18 20:23:01
23,TI,5,D,2024-06-18 20:23:09,2024-06-18 20:23:09
24,TI,5,E,2024-06-18 20:23:13,2024-06-18 20:23:13
25,TI,5,F,2024-06-18 20:23:18,2024-06-18 20:23:18
26,TI,5,G,2024-06-18 20:23:22,2024-06-18 20:23:22
27,TI,5,H,2024-06-18 20:23:29,2024-06-18 20:23:29
28,TI,6,A,2024-06-18 20:23:39,2024-06-18 20:23:39
29,TI,6,B,2024-06-18 20:23:43,2024-06-18 20:23:43
30,TI,6,C,2024-06-18 20:23:46,2024-06-18 20:23:46
31,TI,6,D,2024-06-18 20:23:51,2024-06-18 20:23:51
32,TI,7,A,2024-06-18 20:24:05,2024-06-18 20:24:05
33,TI,8,A,2024-06-18 20:24:12,2024-06-18 20:24:12
34,TI,8,B,2024-06-18 20:24:16,2024-06-18 20:24:16
35,TI,8,C,2024-06-18 20:24:21,2024-06-18 20:24:21
36,TI,8,D,2024-06-18 20:24:27,2024-06-18 20:24:27
37,TI,9,A,2024-06-18 20:24:50,2024-06-18 20:24:50
38,TI,10,A,2024-06-18 20:24:55,2024-06-18 20:24:55
39,TI,11,A,2024-06-18 20:24:59,2024-06-18 20:24:59
40,TI,12,A,2024-06-18 20:25:04,2024-06-18 20:25:04
42,TI,13,A,2024-06-18 20:25:17,2024-06-18 20:25:17
43,TI,14,A,2024-06-18 20:25:21,2024-06-18 20:25:21
44,TI,15,A,2024-06-18 20:25:26,2024-06-18 20:25:26
45,TI,16,A,2024-06-18 20:25:37,2024-06-18 20:25:37
46,TI,17,A,2024-06-18 20:25:47,2024-06-18 20:25:47
47,TI,18,A,2024-06-18 20:25:52,2024-06-18 20:25:52
48,TI,19,A,2024-06-18 20:25:56,2024-06-18 20:25:56
49,TI,20,A,2024-06-18 20:26:01,2024-06-18 20:26:01
50,TI,21,A,2024-06-18 20:26:07,2024-06-18 20:26:07
51,TI,22,A,2024-06-18 20:26:13,2024-06-18 20:26:13
52,TI,23,A,2024-06-18 20:26:18,2024-06-18 20:26:18
53,TI,24,A,2024-06-18 20:26:26,2024-06-18 20:26:26
56,TI,25,A,2024-06-18 20:27:57,2024-06-18 20:27:57
57,TI,26,A,2024-06-18 20:28:02,2024-06-18 20:28:02
58,TI,27,A,2024-06-18 20:28:07,2024-06-18 20:28:07
59,TI,44,A,2024-06-18 20:28:11,2024-06-18 20:28:11
60,TI,28,A,2024-06-18 20:28:19,2024-06-18 20:28:19
61,TI,29,A,2024-06-18 20:28:23,2024-06-18 20:28:23
62,TI,30,A,2024-06-18 20:28:27,2024-06-18 20:28:27
64,TI,31,A,2024-06-18 20:28:34,2024-06-18 20:28:34
65,TI,32,Z,2024-06-18 20:29:19,2024-06-18 20:29:19
66,TI,33,A,2024-06-18 20:29:23,2024-06-18 20:29:23
67,TI,33,B,2024-06-18 20:29:29,2024-06-18 20:29:29
68,TI,34,A,2024-06-18 20:29:34,2024-06-18 20:29:34
69,TI,35,A,2024-06-18 20:29:39,2024-06-18 20:29:39
70,TI,35,B,2024-06-18 20:29:44,2024-06-18 20:29:44
71,TI,36,A,2024-06-18 20:29:55,2024-06-18 20:29:55
72,TI,36,B,2024-06-18 20:30:00,2024-06-18 20:30:00
73,TI,37,A,2024-06-18 20:30:05,2024-06-18 20:30:05
74,TI,37,B,2024-06-18 20:30:12,2024-06-18 20:30:12
75,TI,38,A,2024-06-18 20:30:18,2024-06-18 20:30:18
76,TI,39,A,2024-06-18 20:30:24,2024-06-18 20:30:24
77,TI,40,A,2024-06-18 20:30:30,2024-06-18 20:30:30
78,TI,41,A,2024-06-18 20:30:37,2024-06-18 20:30:37
79,TI,42,A,2024-06-18 20:30:44,2024-06-18 20:30:44
80,TI,43,A,2024-06-18 20:30:49,2024-06-18 20:30:49
81,TI,1,S,2024-06-18 20:30:58,2024-06-18 20:30:58
82,TI,2,S,2024-06-18 20:31:03,2024-06-18 20:31:03
83,TI,3,S,2024-06-18 20:31:08,2024-06-18 20:31:08
84,TI,4,S,2024-06-18 20:31:14,2024-06-18 20:31:14
85,TI,5,S,2024-06-18 20:31:21,2024-06-18 20:31:21
86,TI,6,S,2024-06-18 20:31:34,2024-06-18 20:31:34
87,TI,8,S,2024-06-18 20:31:38,2024-06-18 20:31:38
88,TI,35,S,2024-06-18 20:31:50,2024-06-18 20:31:50
