1,0701,2024-06-18 13:02:34,2024-06-18 13:02:34
2,0702,2024-06-18 13:02:36,2024-06-18 13:02:36
3,0703,2024-06-18 13:02:39,2024-06-18 13:02:39
4,0704,2024-06-18 13:02:41,2024-06-18 13:02:41
5,0705,2024-06-18 13:02:42,2024-06-18 13:02:42
6,0801,2024-06-18 13:02:45,2024-06-18 13:02:45
7,0802,2024-06-18 13:02:46,2024-06-18 13:02:46
8,0803,2024-06-18 13:02:48,2024-06-18 13:02:48
9,0804,2024-06-18 13:02:50,2024-06-18 13:02:50
10,0805,2024-06-18 13:02:52,2024-06-18 13:02:52
11,0901,2024-06-18 13:02:55,2024-06-18 13:02:55
12,0902,2024-06-18 13:02:56,2024-06-18 13:02:56
13,0903,2024-06-18 13:02:58,2024-06-18 13:02:58
14,0904,2024-06-18 13:03:27,2024-06-18 13:03:27
15,0905,2024-06-18 13:03:29,2024-06-18 13:03:29
16,1001,2024-06-18 13:03:52,2024-06-18 13:03:52
17,1002,2024-06-18 13:03:54,2024-06-18 13:03:54
18,1003,2024-06-18 13:03:57,2024-06-18 13:03:57
19,1004,2024-06-18 13:03:58,2024-06-18 13:03:58
20,1005,2024-06-18 13:04:00,2024-06-18 13:04:00
21,1201,2024-06-18 13:04:04,2024-06-18 13:04:04
22,1202,2024-06-18 13:04:06,2024-06-18 13:04:06
23,1203,2024-06-18 13:04:08,2024-06-18 13:04:08
24,1204,2024-06-18 13:04:10,2024-06-18 13:04:10
25,1205,2024-06-18 13:04:11,2024-06-18 13:04:11
26,1101,2024-06-18 13:04:15,2024-06-18 13:04:15
27,1102,2024-06-18 13:04:18,2024-06-18 13:04:18
28,1103,2024-06-18 13:04:21,2024-06-18 13:04:21
29,1104,2024-06-18 13:04:22,2024-06-18 13:04:22
30,1105,2024-06-18 13:04:24,2024-06-18 13:04:24
31,0906,2024-06-20 10:55:49,2024-06-20 10:55:49
