1,Computation II,2024-06-18 20:09:30,2024-06-18 20:09:30
2,Data Structure,2024-06-18 20:09:34,2024-06-18 20:09:34
3,Big Data,2024-06-18 20:09:39,2024-06-18 20:09:39
4,Numerical Method,2024-06-18 20:09:52,2024-06-18 20:09:52
5,Back-End Programming,2024-06-18 20:09:55,2024-06-18 20:09:55
6,Software Development,2024-06-18 20:09:59,2024-06-18 20:09:59
7,Artificial Intelligence,2024-06-18 20:10:03,2024-06-18 20:10:03
8,Humaniora,2024-06-18 20:10:08,2024-06-18 20:10:08
9,Persiapan Magang/Praktik Industri,2024-06-18 20:10:14,2024-06-18 20:10:14
10,Pelaksanaan Magang/Praktik Industri,2024-06-18 20:10:25,2024-06-18 20:10:25
11,Evaluasi & Lap.Magang/Praktik Industri,2024-06-18 20:12:33,2024-06-18 20:12:33
12,Publikasi Magang/Praktik Industri,2024-06-18 20:12:42,2024-06-18 20:12:42
13,Persiapan Studi/Proyek Independen,2024-06-18 20:12:55,2024-06-18 20:12:55
14,Pelaksanaan Studi/Proyek Independen,2024-06-18 20:15:21,2024-06-18 20:15:21
15,Evaluasi & Lap.Studi/Proyek Independen,2024-06-18 20:15:28,2024-06-18 20:15:28
16,Publikasi Studi/Proyek Independen,2024-06-18 20:15:34,2024-06-18 20:15:34
17,Persiapan Kegiatan Wirausaha,2024-06-18 20:16:13,2024-06-18 20:16:13
18,Pelaksanaan Kegiatan Wirausaha,2024-06-18 20:16:19,2024-06-18 20:16:19
19,Evaluasi dan Laporan Kegiatan Wirausaha,2024-06-18 20:16:27,2024-06-18 20:16:27
20,Publikasi Kegiatan Wirausaha,2024-06-18 20:16:34,2024-06-18 20:16:34
21,Persiapan Membangun Desa/Kuliah Kerja Nyata Tematik,2024-06-18 20:16:50,2024-06-18 20:16:50
22,Pelaksanaan Membangun Desa/Kuliah Kerja Nyata Tematik,2024-06-18 20:17:11,2024-06-18 20:17:11
23,Evaluasi dan Laporan Membangun Desa/Kuliah Kerja Nyata Tematik,2024-06-18 20:17:49,2024-06-18 20:17:49
24,Publikasi Membangun Desa/Kuliah Kerja Nyata Tematik,2024-06-18 20:18:06,2024-06-18 20:18:06
25,Persiapan Penelitian/Riset,2024-06-18 20:18:14,2024-06-18 20:18:14
26,Pelaksanaan Penelitian/Riset,2024-06-18 20:18:21,2024-06-18 20:18:21
27,Publikasi Asistensi Penelitian /Riset,2024-06-18 20:18:30,2024-06-18 20:18:30
28,Persiapan Asistensi Mengajar di Satuan Pendidikan,2024-06-18 20:18:41,2024-06-18 20:18:41
29,Pelaksanaan Asistensi Mengajar di Satuan Pendidikan,2024-06-18 20:18:58,2024-06-18 20:18:58
30,Evaluasi dan Laporan Asistensi Mengajar di Satuan Pendidikan,2024-06-18 20:19:12,2024-06-18 20:19:12
31,Publikasi Asistensi Mengajar di Satuan Pendidikan,2024-06-18 20:19:21,2024-06-18 20:19:21
32,Skripsi,2024-06-18 20:19:25,2024-06-18 20:19:25
33,Technopreneurship,2024-06-18 20:19:40,2024-06-18 20:19:40
34,Mobile Programming,2024-06-18 20:19:44,2024-06-18 20:19:44
35,Data Mining,2024-06-18 20:19:49,2024-06-18 20:19:49
36,Machine Learning,2024-06-18 20:19:52,2024-06-18 20:19:52
37,Natural Language Processing,2024-06-18 20:19:56,2024-06-18 20:19:56
38,Artificial Neural Networks,2024-06-18 20:20:07,2024-06-18 20:20:07
39,Essential Game Development,2024-06-18 20:20:10,2024-06-18 20:20:10
40,Java Programming,2024-06-18 20:20:14,2024-06-18 20:20:14
41,Business Process Re-engineering,2024-06-18 20:20:18,2024-06-18 20:20:18
42,Computer Vision,2024-06-18 20:20:22,2024-06-18 20:20:22
43,Operations Research,2024-06-18 20:20:26,2024-06-18 20:20:26
44,Evaluasi dan Laporan Penelitian/Riset,2024-06-18 20:27:12,2024-06-18 20:27:12
